date,open,high,low,close,volume,dividends,stock splits,ticker
2019-12-31,70.02192726243074,70.92760185239203,69.92290595614713,70.92035675048828,100805600,0.0,0.0,AAPL
2020-01-02,71.54587474672552,72.59887623049032,71.29228881100529,72.53849792480469,135480400,0.0,0.0,AAPL
2020-01-03,71.76568192376371,72.594070846621,71.6086997390569,71.83330535888672,146322800,0.0,0.0,AAPL
2020-01-06,70.95418053006813,72.4443131708714,70.70300468370534,72.40567016601562,118387200,0.0,0.0,AAPL
2020-01-07,72.41534488187352,72.67134838279743,71.84537704823941,72.06515502929688,108872000,0.0,0.0,AAPL
2020-01-08,71.76807876823776,73.5262949460089,71.76807876823776,73.22440338134766,132079200,0.0,0.0,AAPL
2020-01-09,74.20252681762871,74.97295465655091,73.95135835025293,74.77974700927734,170108400,0.0,0.0,AAPL
2020-01-10,75.01401242394427,75.51394659034878,74.44645484641248,74.94879913330078,140644800,0.0,0.0,AAPL
2020-01-13,75.26520375211625,76.57661912211044,75.14685723047293,76.550048828125,121532000,0.0,0.0,AAPL
2020-01-14,76.48726080979424,76.69737618985954,75.39320591637785,75.51637268066406,161954400,0.0,0.0,AAPL
2020-01-15,75.31591552157606,76.19743749233605,74.76043057245047,75.19274139404297,121923600,0.0,0.0,AAPL
2020-01-16,75.73615570871007,76.24575261001203,75.37388575466262,76.13465118408203,108829200,0.0,0.0,AAPL
2020-01-17,76.3833883085302,76.97992629479913,76.07666915290817,76.9775161743164,137816400,0.0,0.0,AAPL
2020-01-21,76.6056010131108,77.04756709065205,76.31819960849738,76.45586395263672,110843200,0.0,0.0,AAPL
2020-01-22,76.94129287751667,77.28182746630861,76.63457368368562,76.72876739501953,101832400,0.0,0.0,AAPL
2020-01-23,76.78190007438859,77.17797799443389,76.23366024847726,77.09828186035156,104472000,0.0,0.0,AAPL
2020-01-24,77.34461967692074,78.08847725706723,76.68528583944577,76.87608337402344,146537600,0.0,0.0,AAPL
2020-01-27,74.88360812840847,75.29659377968004,73.63257108817264,74.61553192138672,161940000,0.0,0.0,AAPL
2020-01-28,75.49706227081296,76.89783652233591,75.39804092914581,76.72636413574219,162234000,0.0,0.0,AAPL
2020-01-29,78.35899064388555,79.1801343637196,77.6175430675433,78.3324203491211,216229200,0.0,0.0,AAPL
2020-01-30,77.4146666313588,78.27203580279424,76.9823558087521,78.21890258789062,126743200,0.0,0.0,AAPL
2020-01-31,77.50883992680524,77.93148808362285,74.45611650102718,74.75076293945312,199588400,0.0,0.0,AAPL
2020-02-03,73.49248476536589,75.71199229580401,72.99014040911702,74.54548645019531,173788400,0.0,0.0,AAPL
2020-02-04,76.15155637582674,77.197313069489,75.74581580955447,77.00651550292969,136616400,0.0,0.0,AAPL
2020-02-05,78.13437206813377,78.43385354098093,77.03066200298008,77.63444519042969,118826800,0.0,0.0,AAPL
2020-02-06,77.90496533285365,78.54497425479408,77.34707006784117,78.54255676269531,105425600,0.0,0.0,AAPL
2020-02-07,78.04141124169928,78.29076000098544,76.98349458931148,77.47492980957031,117684000,0.1925,0.0,AAPL
2020-02-10,76.05874190628808,77.8429183959961,75.97885660449424,77.8429183959961,109348800,0.0,0.0,AAPL
2020-02-11,78.33916745517011,78.41179042644524,77.15536130814662,77.37323760986328,94323200,0.0,0.0,AAPL
2020-02-12,77.8235127844516,79.21550953939415,77.8235127844516,79.2106704711914,113730400,0.0,0.0,AAPL
2020-02-13,78.48201230906955,78.97344754144679,78.27866056338509,78.6466293334961,94747600,0.0,0.0,AAPL
2020-02-14,78.61514926442095,78.91534147799902,78.15760972810558,78.6659927368164,80113600,0.0,0.0,AAPL
2020-02-18,76.34437253292894,77.40713550005586,76.16280771158402,77.22557067871094,152531200,0.0,0.0,AAPL
2020-02-19,77.46765770370357,78.57399446337855,77.46765770370357,78.34400939941406,93984000,0.0,0.0,AAPL
2020-02-20,78.10437179605425,78.59338388594055,77.03434617265101,77.5403060913086,100566000,0.0,0.0,AAPL
2020-02-21,77.13358724414647,77.57660960627356,75.1678463572217,75.78516387939453,129554000,0.0,0.0,AAPL
2020-02-24,71.96262546916086,73.63785968182607,70.01867143670297,72.18534088134766,222195200,0.0,0.0,AAPL
2020-02-25,72.85593184219474,73.23842524425972,69.26820830101296,69.74027252197266,230673600,0.0,0.0,AAPL
2020-02-26,69.36503539122887,72.11271828103145,69.35777309270347,70.84660339355469,198054800,0.0,0.0,AAPL
2020-02-27,68.05050408823062,69.23672624207228,66.07991679515257,66.21548461914062,320605600,0.0,0.0,AAPL
2020-02-28,62.27917132496963,67.3992989911438,62.0637108077199,66.1767578125,426510000,0.0,0.0,AAPL
2020-03-02,68.33616370279057,72.97454103190371,67.23225006740749,72.33785247802734,341397200,0.0,0.0,AAPL
2020-03-03,73.51438495619033,73.59427022253612,69.18829451063576,70.04044342041016,319475600,0.0,0.0,AAPL
2020-03-04,71.76409653622746,73.44901589447862,70.96279110385233,73.28923797607422,219178400,0.0,0.0,AAPL
2020-03-05,71.54138326049582,72.51699133415363,70.54641152199336,70.9119644165039,187572800,0.0,0.0,AAPL
2020-03-06,68.26838538116881,70.403589845972,68.08198145661343,69.97025299072266,226176800,0.0,0.0,AAPL
2020-03-09,63.850297174318,67.32181576257562,63.66873234822989,64.43614959716797,286744800,0.0,0.0,AAPL
2020-03-10,67.09183070037263,69.3432313409943,65.21081458081115,69.07693481445312,285290000,0.0,0.0,AAPL
2020-03-11,67.15238185093062,68.07956995144926,65.8136363324186,66.67788696289062,255598800,0.0,0.0,AAPL
2020-03-12,61.95960879581329,65.36334381218688,60.03744172378647,60.09312057495117,418474000,0.0,0.0,AAPL
2020-03-13,64.12629016039305,67.76484959839499,61.23577335258076,67.29277801513672,370732000,0.0,0.0,AAPL
2020-03-16,58.572812608634756,62.71975075656297,58.10074479595678,58.63575744628906,322423600,0.0,0.0,AAPL
2020-03-17,59.91881387267281,62.36388471818226,57.71340624039025,61.2139778137207,324056000,0.0,0.0,AAPL
2020-03-18,58.04507418797264,60.521617752082875,57.403542823432716,59.71546936035156,300233600,0.0,0.0,AAPL
2020-03-19,59.88977278720958,61.20914333463061,58.73259973445275,59.25792694091797,271857200,0.0,0.0,AAPL
2020-03-20,59.83892290297791,60.96462703593952,55.19570687816326,55.49589538574219,401693200,0.0,0.0,AAPL
2020-03-23,55.21508274022157,55.31675861475192,51.47000473892812,54.31694030761719,336752800,0.0,0.0,AAPL
2020-03-24,57.21955352533474,59.962393449772364,56.720856028881734,59.76630401611328,287531200,0.0,0.0,AAPL
2020-03-25,60.70318009593795,62.518828553443576,59.14172316127237,59.437068939208984,303602000,0.0,0.0,AAPL
2020-03-26,59.679142174205445,62.622910080181875,59.64040746248256,62.56481170654297,252087200,0.0,0.0,AAPL
2020-03-27,61.187354431284916,61.94266302499107,59.80746231049624,59.97450256347656,204216800,0.0,0.0,AAPL
2020-03-30,60.700756687792804,61.85792960202071,60.376358043352745,61.6860466003418,167976400,0.0,0.0,AAPL
2020-03-31,61.87730177654374,63.54527367451045,61.005789027148815,61.56016540527344,197002000,0.0,0.0,AAPL
2020-04-01,59.67430332649324,60.211735481582174,57.89012756934183,58.321041107177734,176218400,0.0,0.0,AAPL
2020-04-02,58.18305551478086,59.34749072840286,57.350277549943364,59.29423141479492,165934000,0.0,0.0,AAPL
2020-04-03,58.77860059874803,59.48064994321993,57.85140889738694,58.442100524902344,129880000,0.0,0.0,AAPL
2020-04-06,60.73949357260216,63.6953672894155,60.371524799496335,63.540435791015625,201820400,0.0,0.0,AAPL
2020-04-07,65.55700306601591,65.77488676591214,62.70038611330759,62.804481506347656,202887200,0.0,0.0,AAPL
2020-04-08,63.60578200367688,64.726643281739,63.240236542570365,64.41193389892578,168895200,0.0,0.0,AAPL
2020-04-09,65.04862618518483,65.38028340961694,64.0802804727914,64.87673950195312,161834800,0.0,0.0,AAPL
2020-04-13,64.95422341312944,66.25907309767462,64.35384627795469,66.15013122558594,131022800,0.0,0.0,AAPL
2020-04-14,67.78420685231022,69.78142008992293,67.31213531371759,69.49091339111328,194994800,0.0,0.0,AAPL
2020-04-15,68.36520850392205,69.3166064306414,67.93671816899065,68.85664367675781,131154400,0.0,0.0,AAPL
2020-04-16,69.57081070155868,69.76932337939922,68.35311605698439,69.40377044677734,157125200,0.0,0.0,AAPL
2020-04-17,68.91958300953867,69.46670067896375,67.02404221723192,68.4620361328125,215250000,0.0,0.0,AAPL
2020-04-20,67.28791796414524,68.19089550962622,67.02162144605663,67.04098510742188,130015200,0.0,0.0,AAPL
2020-04-21,66.88366287260848,67.11848709049679,64.25702267570813,64.96875762939453,180991600,0.0,0.0,AAPL
2020-04-22,66.23725720556617,67.27580994346772,65.89592187854126,66.84005737304688,116862400,0.0,0.0,AAPL
2020-04-23,66.78439882318551,68.20786856663918,66.54231233315308,66.58104705810547,124814400,0.0,0.0,AAPL
2020-04-24,67.10637563628991,68.51289750296907,67.05795538482593,68.50321197509766,126161200,0.0,0.0,AAPL
2020-04-27,68.21997103964695,68.88329305683456,67.77211693615625,68.5516357421875,117087600,0.0,0.0,AAPL
2020-04-28,69.01400698692461,69.19557183776718,67.3484582943587,67.44044494628906,112004800,0.0,0.0,AAPL
