ticker,eps_date,time,decision,is_amc,entry_date,current_exit_date,shifted_exit_date,entry_close,current_exit_close,shifted_exit_close,current_ret_recomputed,shifted_ret,original_ret,delta_original_vs_recomputed,delta_shifted_vs_current,cohort
AAPL,2020-01-28,amc,hold,True,2020-01-13,2020-02-11,2020-02-12,76.4044189453125,77.22605895996094,79.05999755859375,0.010753828456395054,0.03475687204927258,0.0323479791233087,-0.02159415066691365,0.024003043592877527,unfiltered
AAPL,2020-04-30,amc,hold,True,2020-04-16,2020-05-14,2020-05-15,69.27172088623047,74.99533081054688,74.5519790649414,0.0826254906199988,0.07622530682301165,0.091227595354312,-0.008602104734313207,-0.006400183796987147,unfiltered
AAPL,2020-07-30,amc,hold,True,2020-07-16,2020-08-13,2020-08-14,93.54187774658205,111.65946197509766,111.55995178222656,0.1936842050316614,0.19262040136138792,0.1789960854610559,0.014688119570605507,-0.0010638036702734777,unfiltered
AAPL,2020-10-29,amc,hold,True,2020-10-15,2020-11-12,2020-11-13,117.1933822631836,115.93677520751952,115.98540496826172,-0.010722508655327423,-0.010307555525695955,-0.0146409105778776,0.003918401922550177,0.0004149531296314679,unfiltered
AAPL,2021-01-27,amc,hold,True,2021-01-12,2021-02-10,2021-02-11,125.2634506225586,131.86929321289062,131.6160125732422,0.05273559492015445,0.05071361134561925,0.0512666992347154,0.0014688956854390506,-0.002021983574535202,unfiltered
AAPL,2021-04-28,amc,hold,True,2021-04-14,2021-05-12,2021-05-13,128.5966339111328,119.78054809570312,121.92699432373048,-0.06855611649619131,-0.051864806912530925,-0.0851851972705896,0.016629080774398286,0.016691309583660385,unfiltered
AAPL,2021-07-27,amc,hold,True,2021-07-13,2021-08-10,2021-08-11,142.09364318847656,142.26748657226562,142.52154541015625,0.00122344237144012,0.0030114100256555254,0.0091224972822794,-0.00789905491083928,0.0017879676542154055,unfiltered
AAPL,2021-10-28,amc,cut,True,2021-10-14,2021-10-28,2021-10-29,140.46957397460938,149.07797241210938,146.37135314941406,0.06128301093200439,0.04201464422374812,0.0827479884605582,-0.021464977528553808,-0.019268366708256268,unfiltered
AAPL,2022-01-27,amc,hold,True,2022-01-12,2022-02-10,2022-02-11,171.7627716064453,168.64051818847656,165.23086547851562,-0.0181777074785604,-0.03802864885585355,-0.0156539349171657,-0.002523772561394702,-0.019850941377293152,unfiltered
AAPL,2022-04-28,amc,hold,True,2022-04-13,2022-05-12,2022-05-13,166.95529174804688,139.88331604003906,144.34786987304688,-0.16215104908961064,-0.13541003485601988,-0.1484583874832178,-0.013692661606392847,0.026741014233590765,unfiltered
AAPL,2022-07-28,amc,hold,True,2022-07-14,2022-08-11,2022-08-12,145.6823272705078,165.5561065673828,169.1032257080078,0.13641860113871407,0.16076691577016944,0.1596951326919067,-0.02327653155319262,0.02434831463145537,unfiltered
AAPL,2022-10-27,unknown,cut,False,2022-10-13,2022-10-27,2022-10-27,140.50009155273438,142.27857971191406,142.27857971191406,0.012658270464629195,0.012658270464629195,0.0466962515411051,-0.034037981076475904,0.0,unfiltered
AAPL,2023-02-02,amc,cut,True,2023-01-19,2023-02-02,2023-02-03,133.1350555419922,148.43960571289062,152.06153869628906,0.11495507406816108,0.1421600274792183,0.1154502110129422,-0.0004951369447811216,0.02720495341105722,unfiltered
AAPL,2023-05-04,amc,hold,True,2023-04-20,2023-05-18,2023-05-19,164.2701873779297,172.78892517089844,172.8975372314453,0.05185808775739709,0.052519267136811765,0.0457087175552799,0.006149370202117185,0.0006611793794146781,unfiltered
AAPL,2023-08-03,amc,hold,True,2023-07-20,2023-08-17,2023-08-18,190.6353912353516,171.9844207763672,172.46873474121094,-0.09783582333858765,-0.09529529840402384,-0.1069454439973112,0.009109620658723547,0.0025405249345638037,unfiltered
AAPL,2023-11-02,amc,hold,True,2023-10-19,2023-11-16,2023-11-17,173.42750549316406,187.75946044921875,187.7396697998047,0.08263945742228063,0.08252534259742772,0.0803000221766521,0.0023394352456285322,-0.0001141148248529067,unfiltered
AAPL,2024-02-01,amc,cut,True,2024-01-18,2024-02-01,2024-02-02,186.6905670166016,184.9387664794922,183.9391326904297,-0.00938344430093041,-0.014737939737079597,0.0228816352944571,-0.032265079595387505,-0.005354495436149187,unfiltered
AAPL,2024-05-02,amc,cut,True,2024-04-18,2024-05-02,2024-05-03,165.53347778320312,171.46949768066406,181.72613525390625,0.0358599358688958,0.09782104313612283,0.0299405604618792,0.0059193754070165985,0.061961107267227034,unfiltered
AAPL,2024-08-01,amc,cut,True,2024-07-18,2024-08-01,2024-08-02,222.45950317382807,216.6841583251953,218.1726531982422,-0.02596133123663391,-0.01927024880675099,-0.04596298187119,0.02000165063455609,0.006691082429882922,unfiltered
AAPL,2024-10-31,amc,cut,True,2024-10-17,2024-10-31,2024-11-01,230.63497924804688,224.43569946289065,221.4552764892578,-0.02687918287749802,-0.03980186695321841,-0.0253257546781467,-0.0015534281993513192,-0.012922684075720392,unfiltered
AAPL,2025-01-30,amc,cut,True,2025-01-15,2025-01-30,2025-01-31,236.57763671875,236.2991485595703,234.7178192138672,-0.0011771533566833359,-0.00786134112538206,0.0184755494789703,-0.019652702835653634,-0.006684187768698724,unfiltered
AAPL,2025-05-01,amc,cut,True,2025-04-16,2025-05-01,2025-05-02,193.42697143554688,212.39431762695312,204.4588928222656,0.09805946942475119,0.057034038763279504,0.0553083599425898,0.04275110948216139,-0.041025430661471685,unfiltered
ABBV,2020-02-07,bmo,cut,False,2020-01-24,2020-02-07,2020-02-07,64.9516372680664,71.75469970703125,71.75469970703125,0.10474043034338698,0.10474043034338698,0.0823266272273786,0.02241380311600838,0.0,unfiltered
ABBV,2020-05-01,bmo,hold,False,2020-04-17,2020-05-15,2020-05-15,65.84929656982422,71.57809448242188,71.57809448242188,0.08699861974262779,0.08699861974262779,0.1081115429279828,-0.021112923185355015,0.0,unfiltered
ABBV,2020-07-31,bmo,cut,False,2020-07-17,2020-07-31,2020-07-31,80.53473663330078,75.80633544921875,75.80633544921875,-0.0587125677906154,-0.0587125677906154,-0.0501400400092457,-0.008572527781369702,0.0,unfiltered
ABBV,2020-10-30,bmo,cut,False,2020-10-16,2020-10-30,2020-10-30,69.84375762939453,68.89653015136719,68.89653015136719,-0.013562092163676653,-0.013562092163676653,-0.0015250659566419,-0.012037026207034753,0.0,unfiltered
ABBV,2021-02-03,bmo,cut,False,2021-01-20,2021-02-03,2021-02-03,92.24298858642578,87.598876953125,87.598876953125,-0.0503465000914356,-0.0503465000914356,-0.0466214512332359,-0.0037250488581997004,0.0,unfiltered
ABBV,2021-04-30,bmo,hold,False,2021-04-16,2021-05-14,2021-05-14,89.45980834960938,96.52308654785156,96.52308654785156,0.0789547655930456,0.0789547655930456,0.0892504453783451,-0.010295679785299508,0.0,unfiltered
ABBV,2021-07-30,bmo,cut,False,2021-07-16,2021-07-30,2021-07-30,98.49610137939452,97.4901885986328,97.4901885986328,-0.010212716713396297,-0.010212716713396297,-0.0075097930690373,-0.002702923644358997,0.0,unfiltered
ABBV,2021-10-29,bmo,cut,False,2021-10-15,2021-10-29,2021-10-29,92.75857543945312,97.28916931152344,97.28916931152344,0.04884285739195726,0.04884285739195726,0.0528876850589259,-0.004044827666968641,0.0,unfiltered
ABBV,2022-02-02,bmo,cut,False,2022-01-19,2022-02-02,2022-02-02,115.90625,118.82940673828124,118.82940673828124,0.025220009605014804,0.025220009605014804,0.0134523510674386,0.011767658537576204,0.0,unfiltered
ABBV,2022-04-29,bmo,cut,False,2022-04-14,2022-04-29,2022-04-29,140.3197479248047,126.98027801513672,126.98027801513672,-0.09506480810396267,-0.09506480810396267,-0.0759356815538015,-0.019129126550161177,0.0,unfiltered
ABBV,2022-07-29,bmo,cut,False,2022-07-15,2022-07-29,2022-07-29,134.0493621826172,125.22733306884766,125.22733306884766,-0.06581179477565258,-0.06581179477565258,-0.0460649839216895,-0.019746810853963077,0.0,unfiltered
ABBV,2022-10-28,bmo,cut,False,2022-10-14,2022-10-28,2022-10-28,125.99915313720705,130.1156768798828,130.1156768798828,0.032671042941003536,0.032671042941003536,0.0328157563109055,-0.00014471336990196093,0.0,unfiltered
ABBV,2023-02-09,bmo,cut,False,2023-01-26,2023-02-09,2023-02-09,131.1656494140625,132.322509765625,132.322509765625,0.008819842365210606,0.008819842365210606,0.0061575735973979,0.0026622687678127064,0.0,unfiltered
ABBV,2023-04-27,bmo,cut,False,2023-04-13,2023-04-27,2023-04-27,146.10348510742188,133.69244384765625,133.69244384765625,-0.08494692135947657,-0.08494692135947657,-0.0746519700932909,-0.010294951266185667,0.0,unfiltered
ABBV,2023-07-27,bmo,cut,False,2023-07-13,2023-07-27,2023-07-27,121.30029296875,135.1564483642578,135.1564483642578,0.11423018903241644,0.11423018903241644,0.114981548124734,-0.0007513590923175634,0.0,unfiltered
ABBV,2023-10-27,bmo,cut,False,2023-10-13,2023-10-27,2023-10-27,135.6930694580078,127.41167449951172,127.41167449951172,-0.06103034585019018,-0.06103034585019018,-0.0631828765695511,0.0021525307193609178,0.0,unfiltered
