,n,mean,median,hit_rate,std,se,t_stat
Momentum +1..+6,433,1.6%,1.1%,56.1%,8.8%,0.4%,3.71
Contrarian +1..+1,433,-0.7%,-0.5%,45.0%,6.7%,0.3%,-2.05
Agnostic +1..+1,433,0.5%,0.5%,53.1%,6.7%,0.3%,1.58
Pre Run-up -10..-1,433,1.5%,1.2%,58.0%,6.6%,0.3%,4.87
Pre Tradable -10..-1 (w15),429,1.5%,1.2%,57.6%,,,4.78
Hold/Cut thr=0.05 ext=+5,429,2.7%,2.7%,62.2%,,,5.44
Hold/Cut thr=0.05 ext=+10,429,3.3%,2.6%,62.2%,,,5.91
Hold/Cut thr=0.10 ext=+3,429,2.3%,2.3%,62.2%,,,5.23
