symbol,date,epsactual,epsestimated,revenueactual,revenueestimated,lastupdated
AVGO,2024-06-12,1.1,1.09,12487000000.0,12056815364.0,2025-04-25
ASML,2024-07-17,4.36,4.06,6712508272.0,7150556246.0,2025-07-17
NFLX,2024-07-18,4.88,4.74,9526009000.0,9527231650.0,2025-04-25
TSLA,2024-07-23,0.52,0.62,25500000000.0,24539747788.0,2025-04-25
GOOG,2024-07-23,1.89,1.84,84742000000.0,84208298213.0,2025-07-16
TXN,2024-07-23,1.22,1.17,3822000000.0,3821005507.0,2025-04-25
GOOGL,2024-07-23,1.89,1.84,84742000000.0,84191000000.0,2025-04-25
AZN,2024-07-25,0.99,1.2,12938000000.0,13080000000.0,2025-04-25
MSFT,2024-07-30,2.95,2.93,64727000000.0,64382224966.0,2025-04-24
AMD,2024-07-30,0.69,0.678,5835000000.0,5728584992.0,2025-04-25
TMUS,2024-07-31,2.49,2.28,19772000000.0,19608400157.0,2025-04-25
META,2024-07-31,5.16,4.73,39071000000.0,38261443896.0,2025-04-25
AMZN,2024-08-01,1.26,1.03,147977000000.0,148665347243.0,2025-04-25
AAPL,2024-08-01,1.4,1.35,85777000000.0,84432539529.0,2025-07-09
LIN,2024-08-02,3.85,3.78,8267000000.0,8299014189.0,2025-04-25
CSCO,2024-08-14,0.87,0.849,13642000000.0,13534689421.0,2025-04-25
INTU,2024-08-22,1.99,1.85,3184000000.0,3084711015.0,2025-04-25
NVDA,2024-08-28,0.68,0.64,30040000000.0,28779505589.0,2025-04-24
AVGO,2024-09-05,1.24,1.22,13072000000.0,12978623398.0,2025-04-25
COST,2024-09-26,5.29,5.08,79697000000.0,79911485122.0,2025-04-24
ASML,2024-10-15,5.74,5.29,8340824754.0,9748556750.91,2024-12-03
NFLX,2024-10-17,5.4,5.12,9824703000.0,9770546352.0,2025-04-25
TXN,2024-10-22,1.47,1.38,4151000000.0,4119722680.0,2025-04-25
TSLA,2024-10-23,0.72,0.58,25182000000.0,25468371161.0,2025-04-25
TMUS,2024-10-23,2.61,2.42,20162000000.0,20014928793.0,2025-04-25
AMD,2024-10-29,0.92,0.922,6819000000.0,6714743758.0,2025-04-25
GOOGL,2024-10-29,2.12,1.83,88268000000.0,86311700000.0,2024-10-28
GOOG,2024-10-29,2.12,1.85,88268000000.0,86390390001.0,2025-07-16
MSFT,2024-10-30,3.3,3.1,65585000000.0,64562402034.0,2025-04-24
META,2024-10-30,6.03,5.25,40589000000.0,40202943776.0,2025-04-25
AMZN,2024-10-31,1.43,1.14,158877000000.0,157275157418.0,2025-04-25
AAPL,2024-10-31,1.64,1.6,94930000000.0,94511953345.0,2025-07-09
LIN,2024-10-31,3.94,3.89,8356000000.0,8389586257.0,2025-04-25
AZN,2024-11-12,1.04,1.03,13565000000.0,13087800000.0,2025-04-25
CSCO,2024-11-13,0.91,0.872,13841000000.0,13775382648.0,2025-04-25
NVDA,2024-11-20,0.81,0.75,35082000000.0,33171592429.0,2025-04-24
INTU,2024-11-21,2.5,2.35,3283000000.0,3139982647.0,2025-04-25
COST,2024-12-12,3.82,3.79,62151000000.0,62049988057.0,2025-04-24
AVGO,2024-12-12,1.42,1.38,14054000000.0,14068143104.0,2025-04-25
NFLX,2025-01-21,4.27,4.21,10246513000.0,10108143048.0,2025-04-25
TXN,2025-01-23,1.3,1.2,4007000000.0,3884304301.0,2025-04-25
TSLA,2025-01-29,0.73,0.774,25707000000.0,27258924570.0,2025-04-29
META,2025-01-29,8.02,6.75,48385000000.0,47004057689.0,2025-04-29
ASML,2025-01-29,7.3,7.41,9591536772.0,7617561828.0,2025-07-17
MSFT,2025-01-29,3.23,3.15,69632000000.0,68865707131.0,2025-04-29
TMUS,2025-01-29,2.57,2.29,21872000000.0,21332623160.0,2025-04-29
AAPL,2025-01-30,2.4,2.36,124300000000.0,124257393152.0,2025-07-09
AMD,2025-02-04,1.09,1.08,7658000000.0,7532859637.0,2025-05-04
GOOGL,2025-02-04,2.15,2.12,96469000000.0,96668969540.0,2025-05-03
GOOG,2025-02-04,2.15,2.12,96469000000.0,96699415218.0,2025-07-16
LIN,2025-02-06,3.97,3.94,8282000000.0,8417108013.0,2025-05-06
AZN,2025-02-06,1.05,1.07,14891000000.0,13342906280.0,2025-05-06
AMZN,2025-02-06,1.86,1.49,187792000000.0,187337375136.0,2025-05-06
CSCO,2025-02-12,0.94,0.91,13991000000.0,13870805641.0,2025-05-12
INTU,2025-02-25,3.32,2.57,3963000000.0,3834273674.0,2025-05-25
NVDA,2025-02-26,0.89,0.848,39331000000.0,38101348563.0,2025-05-26
COST,2025-03-06,4.02,4.09,63723000000.0,63109884641.0,2025-06-06
AVGO,2025-03-06,1.6,1.51,14916000000.0,14615690282.0,2025-06-06
ASML,2025-04-16,6.31,6.12,8486619375.0,8916707062.0,2025-07-17
NFLX,2025-04-17,6.61,5.67,10542801000.0,10506867221.0,2025-07-17
TSLA,2025-04-22,0.27,0.4136,19335000000.0,21269497845.0,2025-07-22
TXN,2025-04-23,1.28,1.07,4069000000.0,3907826210.0,2025-07-23
TMUS,2025-04-24,2.58,2.47,20886000000.0,20627346207.0,2025-07-24
GOOGL,2025-04-24,2.81,2.02,90234000000.0,89152056270.0,2025-04-25
GOOG,2025-04-24,2.81,2.02,90234000000.0,89204003142.0,2025-07-24
AZN,2025-04-29,1.24,1.1,13588000000.0,14058053040.0,2025-07-21
MSFT,2025-04-30,3.46,3.22,70066000000.0,68439856878.0,2025-07-30
META,2025-04-30,6.43,5.23,42314000000.0,41339201062.0,2025-07-30
AMZN,2025-05-01,1.59,1.37,155667000000.0,155148014892.0,2025-08-01
LIN,2025-05-01,3.95,3.92,8112000000.0,8240221778.0,2025-07-31
AAPL,2025-05-01,1.65,1.63,95359000000.0,94542181546.0,2025-08-01
AMD,2025-05-06,0.96,0.944,7438000000.0,7124413064.0,2025-08-06
CSCO,2025-05-14,0.96,0.917,14149000000.0,14047984307.0,2025-08-14
INTU,2025-05-22,11.65,10.93,7754000000.0,7567536893.0,2025-08-21
NVDA,2025-05-28,0.81,0.737,44062000000.0,43334160366.0,2025-08-28
COST,2025-05-29,4.28,4.24,63205000000.0,63129611578.0,2025-08-29
AVGO,2025-06-05,1.58,1.57,15004000000.0,14958375428.0,2025-09-05
ASML,2025-07-16,4.55,5.94,9010749633.0,8792650719.0,2025-09-07
NFLX,2025-07-17,7.19,7.07,11079166000.0,11057365203.0,2025-09-08
TXN,2025-07-22,1.41,1.36,4448000000.0,4364610179.0,2025-09-08
GOOGL,2025-07-23,2.31,2.15,96428000000.0,99775273360.0,2025-09-07
TSLA,2025-07-23,0.4,0.3972,22496000000.0,22279678348.0,2025-09-08
GOOG,2025-07-23,2.31,2.18,96428000000.0,94042223225.0,2025-09-08
TMUS,2025-07-23,2.84,2.68,21132000000.0,21036776858.0,2025-09-08
AZN,2025-07-29,1.09,1.09,14457000000.0,14750660940.0,2025-09-05
MSFT,2025-07-30,3.65,3.37,76441000000.0,73926767276.0,2025-09-08
META,2025-07-30,7.14,5.88,47516000000.0,44821438597.0,2025-09-08
AMZN,2025-07-31,1.68,1.31,167702000000.0,161776404970.0,2025-09-08
AAPL,2025-07-31,1.57,1.44,94036000000.0,89562736363.0,2025-09-08
LIN,2025-08-01,4.09,4.03,8495000000.0,8357478524.0,2025-09-08
AMD,2025-08-05,0.48,0.4787,7685000000.0,7414245177.0,2025-09-08
CSCO,2025-08-13,0.99,0.977,14673000000.0,14615557750.0,2025-09-08
INTU,2025-08-21,2.75,2.66,3831000000.0,3743497871.0,2025-09-08
NVDA,2025-08-27,1.05,1.01,46743000000.0,46048920689.0,2025-09-08
