regime,bucket,n,mean,median,hit_rate,std,t_stat,small_n,mean_uplift,hit_rate_uplift
macd_above_zero,False,767,0.011341563097032655,0.008527639174459312,0.560625814863103,0.06769844205838017,4.639721586400312,False,0.0030539784865518046,0.018101195346540866
trend_up_50v200,False,680,0.011107741710273395,0.006312991929928569,0.5485294117647059,0.07360958726505717,3.9350100531461174,False,0.0028201570997925442,0.006004792248143764
above_sma_200,False,1041,0.010847419412034197,0.006806699924014614,0.5677233429394812,0.06418968579947905,5.45238541278562,False,0.0025598348015533467,0.025198723422919067
above_sma_50,False,1266,0.010021900471162967,0.006104884162517976,0.5600315955766193,0.06062350932583863,5.882011447309439,False,0.001734315860682116,0.017506976060057133
rsi_bucket,strong_50-70,798,0.00984777436346137,0.006312991929928569,0.556390977443609,0.0623857778189235,4.459169088285362,False,0.00156018975298052,0.013866357927046824
above_sma_20,False,1355,0.00927165539102968,0.0057088767426876075,0.5549815498154982,0.058989726889431375,5.785628496311703,False,0.0009840707805488288,0.01245693029893602
macd_bullish,True,921,0.009162762319651515,0.006228664399619999,0.5548317046688382,0.06286800690007446,4.423097819168373,False,0.0008751777091706645,0.012307085152276076
macd_hist_positive,True,921,0.009162762319651515,0.006228664399619999,0.5548317046688382,0.06286800690007446,4.423097819168373,False,0.0008751777091706645,0.012307085152276076
rsi_bucket,weak_30-50,666,0.00912197278965828,0.005663500564325852,0.5495495495495496,0.06667741299803265,3.530588852452991,False,0.00083438817917743,0.007024930032987431
rsi_bucket,oversold_<30,81,0.008495307876528076,0.011365566175142838,0.5432098765432098,0.06693778597282546,1.142221389273198,False,0.00020772326604722585,0.0006852570266476787
macd_bullish,False,811,0.008224391789451304,0.0051459514754819136,0.5474722564734895,0.06382129012646373,3.6698527501147264,False,-6.319282102954654e-05,0.004947636956927348
macd_hist_positive,False,811,0.008224391789451304,0.0051459514754819136,0.5474722564734895,0.06382129012646373,3.6698527501147264,False,-6.319282102954654e-05,0.004947636956927348
trend_up_50v200,True,1052,0.007182149690739683,0.005641326054704132,0.5532319391634981,0.05561175547032676,4.188858768262019,False,-0.0011054349197411675,0.010707319646935942
rsi_bucket,NaN,502,0.006784020283207503,0.0029950590143125733,0.5119521912350598,0.06342211526069821,2.3966150031426463,False,-0.001503564327273348,-0.030572428281502417
above_sma_20,NaN,502,0.006784020283207503,0.0029950590143125733,0.5119521912350598,0.06342211526069821,2.3966150031426463,False,-0.001503564327273348,-0.030572428281502417
above_sma_50,NaN,502,0.006784020283207503,0.0029950590143125733,0.5119521912350598,0.06342211526069821,2.3966150031426463,False,-0.001503564327273348,-0.030572428281502417
above_sma_200,NaN,502,0.006784020283207503,0.0029950590143125733,0.5119521912350598,0.06342211526069821,2.3966150031426463,False,-0.001503564327273348,-0.030572428281502417
trend_up_50v200,NaN,502,0.006784020283207503,0.0029950590143125733,0.5119521912350598,0.06342211526069821,2.3966150031426463,False,-0.001503564327273348,-0.030572428281502417
macd_bullish,NaN,502,0.006784020283207503,0.0029950590143125733,0.5119521912350598,0.06342211526069821,2.3966150031426463,False,-0.001503564327273348,-0.030572428281502417
macd_above_zero,NaN,502,0.006784020283207503,0.0029950590143125733,0.5119521912350598,0.06342211526069821,2.3966150031426463,False,-0.001503564327273348,-0.030572428281502417
macd_hist_positive,NaN,502,0.006784020283207503,0.0029950590143125733,0.5119521912350598,0.06342211526069821,2.3966150031426463,False,-0.001503564327273348,-0.030572428281502417
above_sma_20,True,377,0.00675276600211894,0.007008411690757721,0.5384615384615384,0.07687943437106559,1.7054625860872326,False,-0.0015348186083619106,-0.004063081055023732
macd_above_zero,True,965,0.00664239061369949,0.004580580959855585,0.5440414507772021,0.059525763728643565,3.4664352445469966,False,-0.0016451939967813602,0.0015168312606399503
above_sma_200,True,691,0.005523476454003556,0.004328307833733502,0.5267727930535456,0.06184285870940974,2.3478047335046015,False,-0.002764108156477294,-0.01575182646301654
above_sma_50,True,466,0.00519562197672047,0.004764108964488423,0.5278969957081545,0.07000395953271775,1.602167428365753,False,-0.0030919626337603803,-0.014627623808407653
rsi_bucket,overbought_>70,187,0.0026043212817684095,0.0032810217799370545,0.5401069518716578,0.05240647152056734,0.6795641238031896,False,-0.005683263328712441,-0.0024176676449043644
