variant,n,mean,hit_rate,std,t_stat,cohort
all_events__original_reported,2234,0.021806754325140666,0.5940017905102954,0.09145937537208818,11.269493157934814,unfiltered
all_events__recomputed_current,2234,0.01971458215690968,0.5895255147717099,0.0898380912049469,10.372146572672332,unfiltered
all_events__amc_shifted,2234,0.019001801642457572,0.5792300805729633,0.09338822559840734,9.617102412087116,unfiltered
amc_only__original_reported,818,0.02620457554279011,0.6026894865525673,0.11158193721018968,6.716760829900087,unfiltered
amc_only__recomputed_current,818,0.0238454820511501,0.5916870415647921,0.10931608831610864,6.238765694297263,unfiltered
amc_only__amc_shifted,818,0.021898841868648874,0.5635696821515892,0.11722445119335702,5.342931314717621,unfiltered
non_amc__original_reported,1416,0.0192662050624025,0.5889830508474576,0.07742131513829029,9.364126259932847,unfiltered
non_amc__recomputed_current,1416,0.017328228969417683,0.588276836158192,0.07629727413864848,8.54627340662701,unfiltered
non_amc__amc_shifted,1416,0.017328228969417683,0.588276836158192,0.07629727413864848,8.54627340662701,unfiltered
all_events__original_reported,921,0.060713099668598135,0.8099891422366993,0.08257449765334147,22.313427229874275,macd_bullish
all_events__recomputed_current,921,0.057852776904980883,0.8089033659066233,0.08093321130003554,21.693381407030362,macd_bullish
all_events__amc_shifted,921,0.05654472400564637,0.7850162866449512,0.08669634480261944,19.793432578241642,macd_bullish
amc_only__original_reported,330,0.06371549860683992,0.7575757575757576,0.10595341436452059,10.924136031415753,macd_bullish
amc_only__recomputed_current,330,0.05958110497026968,0.7545454545454545,0.10420686631382561,10.386499082555572,macd_bullish
amc_only__amc_shifted,330,0.05593044824212698,0.6878787878787879,0.11646727839354644,8.723712467268765,macd_bullish
non_amc__original_reported,591,0.0590366332563819,0.8392554991539763,0.06606407534070519,21.7245086265632,macd_bullish
non_amc__recomputed_current,591,0.05688772062487038,0.8392554991539763,0.06446651205614888,21.452509343829323,macd_bullish
non_amc__amc_shifted,591,0.05688772062487038,0.8392554991539763,0.06446651205614888,21.452509343829323,macd_bullish
