ticker,eps_date,beat,rel_day,ret,price_date,act_eps,est_eps,surprise,open,high,low,close,volume,dividends,stock splits,window
AAPL,2020-01-28,True,-10,0.021364063392453225,2020-01-13,1.25,1.14,0.09649122807017553,75.26519625077637,76.57661149006776,75.1468497409281,76.55004119873047,121532000,0.0,0.0,10
AAPL,2020-01-28,True,-9,-0.013503373227088611,2020-01-14,1.25,1.14,0.09649122807017553,76.48724535482815,76.69736069243768,75.39319068247579,75.516357421875,161954400,0.0,0.0,10
AAPL,2020-01-28,True,-8,-0.004285376557877862,2020-01-15,1.25,1.14,0.09649122807017553,75.31591552157606,76.19743749233605,74.76043057245047,75.19274139404297,121923600,0.0,0.0,10
AAPL,2020-01-28,True,-7,0.01252660526237559,2020-01-16,1.25,1.14,0.09649122807017553,75.73615570871007,76.24575261001203,75.37388575466262,76.13465118408203,108829200,0.0,0.0,10
AAPL,2020-01-28,True,-6,0.011071015172578802,2020-01-17,1.25,1.14,0.09649122807017553,76.38341102005822,76.97994918369933,76.07669177323754,76.9775390625,137816400,0.0,0.0,10
AAPL,2020-01-28,True,-5,-0.006776978274659062,2020-01-21,1.25,1.14,0.09649122807017553,76.6056010131108,77.04756709065205,76.31819960849738,76.45586395263672,110843200,0.0,0.0,10
AAPL,2020-01-28,True,-4,0.0035697239748082588,2020-01-22,1.25,1.14,0.09649122807017553,76.9413158290966,77.28185051946997,76.63459654377124,76.72879028320312,101832400,0.0,0.0,10
AAPL,2020-01-28,True,-3,0.004815553272567774,2020-01-23,1.25,1.14,0.09649122807017553,76.78190007438859,77.17797799443389,76.23366024847726,77.09828186035156,104472000,0.0,0.0,10
AAPL,2020-01-28,True,-2,-0.00288211501425073,2020-01-24,1.25,1.14,0.09649122807017553,77.34461200102739,78.08846950735138,76.6852782289865,76.8760757446289,146537600,0.0,0.0,10
AAPL,2020-01-28,True,-1,-0.029405036630009374,2020-01-27,1.25,1.14,0.09649122807017553,74.88360812840847,75.29659377968004,73.63257108817264,74.61553192138672,161940000,0.0,0.0,10
AAPL,2020-01-28,True,0,0.028289141306340637,2020-01-28,1.25,1.14,0.09649122807017553,75.49703974934148,76.89781358300051,75.3980184372133,76.7263412475586,162234000,0.0,0.0,10
AAPL,2020-01-28,True,1,0.020932465253177712,2020-01-29,1.25,1.14,0.09649122807017553,78.35898301190313,79.1801266517597,77.61753550777614,78.33241271972656,216229200,0.0,0.0,10
AAPL,2020-01-28,True,2,-0.0014492773385034186,2020-01-30,1.25,1.14,0.09649122807017553,77.4146515294585,78.27202053364006,76.98234079118615,78.21888732910156,126743200,0.0,0.0,10
AAPL,2020-01-28,True,3,-0.044338415181911284,2020-01-31,1.25,1.14,0.09649122807017553,77.50886365949354,77.9315119457232,74.456139298992,74.75078582763672,199588400,0.0,0.0,10
AAPL,2020-01-28,True,4,-0.002746553157438991,2020-02-03,1.25,1.14,0.09649122807017553,73.49247724374133,75.71198454702287,72.99013293890515,74.54547882080078,173788400,0.0,0.0,10
AAPL,2020-01-28,True,5,0.0330139983061819,2020-02-04,1.25,1.14,0.09649122807017553,76.15156392051648,77.19732071778674,75.74582331404561,77.00652313232422,136616400,0.0,0.0,10
AAPL,2020-01-28,True,6,0.008153942987887408,2020-02-05,1.25,1.14,0.09649122807017553,78.13435671108577,78.43383812507085,77.03064686286258,77.63442993164062,118826800,0.0,0.0,10
AAPL,2020-01-28,True,7,0.01169698399127328,2020-02-06,1.25,1.14,0.09649122807017553,77.90492749554984,78.54493610664728,77.34703250149894,78.54251861572266,105425600,0.0,0.0,10
AAPL,2020-01-28,True,8,-0.013592592322767216,2020-02-07,1.25,1.14,0.09649122807017553,78.04140355652011,78.2907522912515,76.98348700831134,77.47492218017578,117684000,0.1925,0.0,10
AAPL,2020-01-28,True,9,0.004749579828953632,2020-02-10,1.25,1.14,0.09649122807017553,76.05871954270658,77.8428955078125,75.97883426440146,77.8428955078125,109348800,0.0,0.0,10
AAPL,2020-01-28,True,10,-0.006033211330288002,2020-02-11,1.25,1.14,0.09649122807017553,78.33918290445037,78.41180589004748,77.15537652396827,77.37325286865234,94323200,0.0,0.0,10
AAPL,2020-04-30,True,-10,0.007945882064597454,2020-04-16,0.64,0.57,0.12280701754385977,69.57081070155868,69.76932337939922,68.35311605698439,69.40377044677734,157125200,0.0,0.0,10
AAPL,2020-04-30,True,-9,-0.013568701658621563,2020-04-17,0.64,0.57,0.12280701754385977,68.91959837030558,69.46671616167201,67.02405715552152,68.46205139160156,215250000,0.0,0.0,10
AAPL,2020-04-30,True,-8,-0.020756546695822276,2020-04-20,0.64,0.57,0.12280701754385977,67.28794859412912,68.1909265506525,67.02165195482027,67.041015625,130015200,0.0,0.0,10
AAPL,2020-04-30,True,-7,-0.030910642753095408,2020-04-21,0.64,0.57,0.12280701754385977,66.8836393098129,67.11846344497374,64.25700003826536,64.96873474121094,180991600,0.0,0.0,10
AAPL,2020-04-30,True,-6,0.028803903244663642,2020-04-22,0.64,0.57,0.12280701754385977,66.2372874479201,67.27584066000009,65.8959519650496,66.840087890625,116862400,0.0,0.0,10
AAPL,2020-04-30,True,-5,-0.0038756451418490157,2020-04-23,0.64,0.57,0.12280701754385977,66.7843911704893,68.20786075083029,66.54230470819708,66.58103942871094,124814400,0.0,0.0,10
AAPL,2020-04-30,True,-4,0.02886943946941134,2020-04-24,0.64,0.57,0.12280701754385977,67.10636068864,68.5128822420226,67.05794044796141,68.5031967163086,126161200,0.0,0.0,10
AAPL,2020-04-30,True,-3,0.000706994692305285,2020-04-27,0.64,0.57,0.12280701754385977,68.21996344716476,68.88328539052851,67.77210939351758,68.55162811279297,117087600,0.0,0.0,10
AAPL,2020-04-30,True,-2,-0.016209546388455065,2020-04-28,0.64,0.57,0.12280701754385977,69.01399917951635,69.19556400981887,67.34845067537042,67.44043731689453,112004800,0.0,0.0,10
AAPL,2020-04-30,True,-1,0.032845326002344244,2020-04-29,0.64,0.57,0.12280701754385977,68.92928107931384,70.12518879426327,68.72592933750241,69.6555404663086,137280800,0.0,0.0,10
AAPL,2020-04-30,True,0,0.021096089756164726,2020-04-30,0.64,0.57,0.12280701754385977,70.19538886698345,71.30172577794379,69.80563320705274,71.125,183064000,0.0,0.0,10
AAPL,2020-04-30,True,1,-0.01609944375411909,2020-05-01,0.64,0.57,0.12280701754385977,69.29724154783354,72.38384357310822,69.20040845206991,69.97992706298828,240616800,0.0,0.0,10
AAPL,2020-04-30,True,2,0.014149063784661076,2020-05-04,0.64,0.57,0.12280701754385977,70.00415476707384,71.09838306103778,69.31420678113763,70.97007751464844,133568000,0.0,0.0,10
AAPL,2020-04-30,True,3,0.015008508749015048,2020-05-05,0.64,0.57,0.12280701754385977,71.43001651075052,72.86801039665262,71.28476318520556,72.03523254394531,147751200,0.0,0.0,10
AAPL,2020-04-30,True,4,0.010317310191423124,2020-05-06,0.64,0.57,0.12280701754385977,72.73728444031273,73.41028439938938,72.3523679150605,72.7784423828125,142333600,0.0,0.0,10
AAPL,2020-04-30,True,5,0.010345084962957163,2020-05-07,0.64,0.57,0.12280701754385977,73.40545924879912,73.87753081736858,73.10285116327836,73.53134155273438,115215200,0.0,0.0,10
AAPL,2020-04-30,True,6,0.023801969308666848,2020-05-08,0.64,0.57,0.12280701754385977,74.19162373480276,75.33493579173758,73.86392075066658,75.28153228759766,133838400,0.205,0.0,10
AAPL,2020-04-30,True,7,0.015735305936243282,2020-05-11,0.64,0.57,0.12280701754385977,74.7887632077065,76.96129825485261,74.58000137090725,76.46611022949219,145946400,0.0,0.0,10
AAPL,2020-04-30,True,8,-0.011428610198226719,2020-05-12,0.64,0.57,0.12280701754385977,77.15060674076052,77.60211024550932,75.47083798793751,75.59220886230469,162301200,0.0,0.0,10
AAPL,2020-04-30,True,9,-0.012073953812375415,2020-05-13,0.64,0.57,0.12280701754385977,75.77185010542999,76.69427337454634,73.60173785754363,74.67951202392578,200622400,0.0,0.0,10
AAPL,2020-04-30,True,10,0.006143398615074069,2020-05-14,0.64,0.57,0.12280701754385977,73.91730709017112,75.19898348401253,73.19393386714296,75.13829803466797,158929200,0.0,0.0,10
AAPL,2020-07-30,True,-10,-0.012304929859616287,2020-07-16,0.65,0.51,0.27450980392156865,93.75901627207652,94.5770549181068,93.1206041798998,93.72017669677734,110577600,0.0,0.0,10
AAPL,2020-07-30,True,-9,-0.0020203367103027725,2020-07-17,0.65,0.51,0.27450980392156865,94.17167220899177,94.32702308898628,93.05748097078398,93.53083038330078,92186800,0.0,0.0,10
AAPL,2020-07-30,True,-8,0.021073925019860607,2020-07-20,0.65,0.51,0.27450980392156865,93.61822100588265,95.64025667561852,93.27352443554928,95.50189208984376,90318000,0.0,0.0,10
AAPL,2020-07-30,True,-7,-0.013801421100362199,2020-07-21,0.65,0.51,0.27450980392156865,96.29325736151677,96.36850673636212,93.93380647205888,94.18383026123048,103433200,0.0,0.0,10
AAPL,2020-07-30,True,-6,0.0028091036733253194,2020-07-22,0.65,0.51,0.27450980392156865,93.88523967276372,95.13050624366169,93.79785618394568,94.44840240478516,89001600,0.0,0.0,10
AAPL,2020-07-30,True,-5,-0.04551646947168719,2020-07-23,0.65,0.51,0.27450980392156865,94.18138204100602,94.25906118948085,89.33868791358677,90.14944458007812,197004400,0.0,0.0,10
AAPL,2020-07-30,True,-4,-0.0024772200024576474,2020-07-24,0.65,0.51,0.27450980392156865,88.34588050233073,90.27082118599914,86.55686722526087,89.9261245727539,185438800,0.0,0.0,10
AAPL,2020-07-30,True,-3,0.02370024697973494,2020-07-27,0.65,0.51,0.27450980392156865,90.98933351898752,92.14963900239098,90.76601521608016,92.0573959350586,121214000,0.0,0.0,10
AAPL,2020-07-30,True,-2,-0.01642769643035169,2020-07-28,0.65,0.51,0.27450980392156865,91.62773114046318,91.80493528958375,90.54024540428786,90.54510498046876,103625600,0.0,0.0,10
