eps_date,ret,equity
2020-01-24,-0.021557746778253617,0.9784422532217464
2020-01-28,-0.004212042635544295,0.9743210127347584
2020-01-29,0.04364664586872571,1.0168468569400506
2020-01-30,0.005347251314424384,1.0222841926323916
2020-01-31,0.010543872518031683,1.0330630268367065
2020-02-03,0.01644107080068402,1.0500476892024977
2020-02-04,0.00208020108862933,1.0522319995486895
2020-02-05,-0.008179735159012186,1.0436250204665434
2020-02-06,0.06722943723847023,1.1137873432804961
2020-02-07,0.013795511328404286,1.1291526091921555
2020-02-12,-0.05201161007384364,1.0704235639689899
2020-02-13,-0.031682075866018865,1.03651032340655
2020-02-18,-0.004939519597787656,1.0313904603507742
2020-02-20,-0.13579963344774815,0.8913280138936348
2020-02-21,-0.07660480783116008,0.8230480026747833
2020-02-22,0.050492660604358974,0.8646058861349366
2020-02-24,-0.06397412831170768,0.8092934782362825
2020-02-25,0.0019087021381718472,0.8108381784286006
2020-02-26,-0.03515472372836631,0.7823333862775315
2020-03-03,-0.0029553323108203466,0.780021331143232
2020-03-05,-0.043201050651895945,0.7463235901069539
2020-03-12,0.0009118805212290729,0.7470041480513062
2020-03-17,-0.24626967565561464,0.5630396787973123
2020-03-19,0.027120084294721236,0.5783093623475682
2020-03-24,0.09484843551144495,0.6331611006078565
2020-04-14,0.031201950983787013,0.6529169622338635
2020-04-15,0.001283598271768327,0.6537550453181951
2020-04-16,0.004182852291552819,0.6564896061076185
2020-04-17,-0.05225631037338441,0.622183881493958
2020-04-20,0.048142814295250025,0.6521375645582195
2020-04-21,0.0680546962176135,0.6965185884063233
2020-04-22,-0.03434283454162209,0.6725981657695207
2020-04-23,-0.05245392758181186,0.6373177502905868
2020-04-24,0.004208900250491365,0.6400001571294274
2020-04-28,-0.0021053238377628978,0.6386527495424508
2020-04-29,-0.0229557539946747,0.6239919941359316
2020-04-30,-0.003974152602861209,0.6215121547282718
2020-05-01,0.02513646038929614,0.6371347703870651
2020-05-02,0.04343706607739839,0.6648100355085761
2020-05-04,-0.10348108562565517,0.5960147712993182
2020-05-05,-0.01889564250321174,0.5847526892542129
2020-05-06,-0.00280188077623302,0.583114281935341
2020-05-07,0.002612628627391478,0.5846377430013661
2020-05-11,-0.0329817444124163,0.5653553703878431
2020-05-12,-0.0298288306720339,0.5484914807750191
2020-05-13,0.0635920296936534,0.58337116730718
2020-05-19,-0.020315770269491384,0.5715195326903223
2020-05-20,0.06784962591671506,0.6102969191874565
2020-05-21,-0.007555931577389985,0.6056855574241842
2020-05-22,0.08644361450041549,0.6580432062586297
2020-05-28,-0.024427296937028498,0.6419689894619558
2020-06-04,0.027456913426489926,0.6595954764281039
2020-06-11,0.10350553290985376,0.7278672577207237
2020-06-16,-0.003246595781064787,0.7255041669526324
2020-06-25,0.007175167720838482,0.7307097810326848
2020-06-30,0.11012815319322122,0.8111814997380374
2020-07-13,-0.004055932632126891,0.8078914022226723
2020-07-14,-0.016455147428531085,0.7945974300928556
2020-07-15,-0.025338752427052053,0.7744633225325609
2020-07-16,0.012515318615405205,0.7841559777700012
2020-07-17,-0.021570781530289906,0.7672411204878536
2020-07-20,-0.015527766151884559,0.7553275797868084
2020-07-21,0.01942369827020821,0.769998834791754
2020-07-22,-0.034949254874239465,0.7430879492617496
2020-07-23,-0.05220145616953628,0.7042976762482518
2020-07-24,-0.007354283778887499,0.6991180712723112
2020-07-28,0.014800459227505048,0.709465339781389
2020-07-29,0.05122415665602426,0.7458071034883704
2020-07-30,0.02963917552492199,0.7679122111363959
2020-07-31,-0.0069045296155175895,0.762610138532487
2020-08-03,0.004475759342826402,0.766023397984958
2020-08-04,0.1408479332855842,0.8739162104395399
2020-08-05,-0.013315604352419574,0.8622794879441611
2020-08-06,0.03736752263758336,0.8945007362298383
2020-08-08,-0.013382599793815175,0.8825299908616013
2020-08-10,-0.010608253557308434,0.8731678889466123
2020-08-12,-0.120813889497554,0.7676770800986038
2020-08-18,-0.003224620472675521,0.765201612869714
2020-08-19,-0.005486748403551826,0.7610031441419058
2020-08-21,0.05240596586786839,0.8008842489391471
2020-08-25,0.130702319289288,0.9055616777577531
2020-09-03,0.028200179221352872,0.9310986793665107
2020-09-10,0.04169085131819261,0.9699169759705454
2020-09-15,-0.017863930989538146,0.9525904460462261
2020-09-22,0.07364799764877672,1.0227468249768858
2020-09-24,-0.007563085431962824,1.015011703364317
2020-10-01,-0.017252978886833414,0.9974997278762835
2020-10-13,-0.01684257656619853,0.9806992623347649
2020-10-14,0.018625826947260272,0.9989655970823181
