strategy,n,mean,hit_rate,t_stat
Momentum +1..+6,66,0.013571787220632323,0.5757575757575758,1.2230007764635578
Contrarian +1..+1,66,-0.011426553896370088,0.48484848484848486,-1.4437169583753309
Agnostic +1..+1,66,0.014356294922792494,0.5454545454545454,1.8309454761100297
Pre Run-up -10..-1,66,0.028546791627660287,0.6212121212121212,3.597329202862132
Hold/Cut thr=0.05 ext=+5,66,0.04833845813048996,0.6666666666666666,4.0346063965063195
Hold/Cut thr=0.05 ext=+10,66,0.05258498688985221,0.7272727272727273,3.9595227505630337
Hold/Cut thr=0.10 ext=+3,66,0.04661005547982471,0.7272727272727273,4.521717381291214
