variant,n_events_eligible,n_base_taken,n_base_skipped_cap,n_pyramid_applied,n_pyramid_skipped_cap,skip_rate,avg_concurrent_open,max_concurrent_open,final_equity,total_return,cagr,max_drawdown,car_mdd
unfiltered_flat,2234,801,1433,0,0,0.6414503133393017,5.713266761768901,10,1.5475462008955925,0.5475462008955925,0.08140381335073532,-0.08775447502162115,0.927631477832656
unfiltered_pyramid,2234,691,1543,182,66,0.6906893464637421,4.9286733238231095,10,1.358285888495007,0.3582858884950071,0.05641523897589673,-0.09516518478446401,0.5928138436726567
macd_bullish_flat,921,465,456,0,0,0.495114006514658,3.316690442225392,10,2.2928633246939847,1.2928633246939847,0.16034440246293102,-0.016102364225836996,9.957817387191561
macd_bullish_pyramid,921,403,518,125,32,0.5624321389793703,2.8744650499286735,10,2.3594208691146856,1.3594208691146856,0.16631032649629396,-0.010783046700410082,15.423315053431898
