eps_date,ticker,ret,n_in_window,rolling_mean,rolling_std,rolling_hit_rate,rolling_tstat,rolling_event_sharpe,alarm_mean,alarm_hit,alarm_mean_confirmed,alarm_hit_confirmed
2020-01-24,AXP,0.076230646168143,,,,,,,False,False,False,False
2020-01-24,NEE,0.0933665024830692,,,,,,,False,False,False,False
2020-01-28,AAPL,0.0808668769709841,,,,,,,False,False,False,False
2020-01-28,AMD,0.1205922943673554,,,,,,,False,False,False,False
2020-01-28,RTX,0.0223232461184457,,,,,,,False,False,False,False
2020-01-28,SBUX,-0.0587949583015134,,,,,,,False,False,False,False
2020-01-28,PFE,-0.0341861131252883,,,,,,,False,False,False,False
2020-01-28,MMM,-0.0825067905200949,,,,,,,False,False,False,False
2020-01-28,LMT,0.0628757034059299,,,,,,,False,False,False,False
2020-01-29,GD,0.0186401478346436,,,,,,,False,False,False,False
2020-01-29,T,-0.0275591901016717,,,,,,,False,False,False,False
2020-01-29,PYPL,0.0199736712961511,,,,,,,False,False,False,False
2020-01-29,TSLA,0.600081343134117,,,,,,,False,False,False,False
2020-01-29,MDLZ,0.1553636974026696,,,,,,,False,False,False,False
2020-01-29,GE,0.085808399524242,,,,,,,False,False,False,False
2020-01-29,BA,0.0521773972379877,,,,,,,False,False,False,False
2020-01-29,META,-0.1183283568140147,,,,,,,False,False,False,False
2020-01-29,NOW,0.16450769706659,,,,,,,False,False,False,False
2020-01-29,MSFT,0.1189545573162894,,,,,,,False,False,False,False
2020-01-29,MA,0.016211507538878,,,,,,,False,False,False,False
2020-01-29,MCD,0.0383999827901535,,,,,,,False,False,False,False
2020-01-30,VZ,0.0054200995653375,,,,,,,False,False,False,False
2020-01-30,AMGN,-0.1415788876292036,,,,,,,False,False,False,False
2020-01-30,AMZN,0.1339279239769193,,,,,,,False,False,False,False
2020-01-30,MO,-0.056418366983481,,,,,,,False,False,False,False
2020-01-30,V,-0.0313525815098799,,,,,,,False,False,False,False
2020-01-30,LLY,0.0134021438617708,,,,,,,False,False,False,False
2020-01-30,KO,0.0510715940590307,,,,,,,False,False,False,False
2020-01-30,TMO,-0.0388821516578058,,,,,,,False,False,False,False
2020-01-30,UPS,-0.0790482064364895,30.0,0.04205132763464216,0.13182400422742377,0.6666666666666666,1.7472129490770205,0.3189959816582031,False,True,False,False
2020-01-30,DHR,0.0474620396928116,30.0,0.04109237408546444,0.13167134331465427,0.6666666666666666,1.7093484171619804,0.31208289557178914,False,True,False,True
2020-01-31,HON,-0.0415538299664755,30.0,0.036595029670479624,0.1321276765231967,0.6333333333333333,1.5170117094712983,0.27696717775896784,False,True,False,True
2020-01-31,CHTR,0.0378152683569092,30.0,0.03515997605001045,0.13186378490979722,0.6333333333333333,1.460439802869733,0.26663860797005023,False,True,False,True
2020-01-31,CVX,-0.0774131373212666,30.0,0.028559794993723058,0.132394503023342,0.6,1.1815327372789262,0.21571737754616432,True,True,False,True
2020-01-31,CAT,-0.0454221107818442,30.0,0.026301616430380058,0.13308051428918258,0.5666666666666667,1.0825017242166348,0.19763687096389573,True,True,True,True
2020-01-31,CL,0.0484139308174058,30.0,0.029875246067677365,0.13215282138150142,0.6,1.2382139110784753,0.2260658967047923,True,True,True,True
2020-02-03,GOOG,0.0563988655432854,30.0,0.03289474535662982,0.13167263496280524,0.6333333333333333,1.3683324602947267,0.24982218488998795,False,True,False,True
2020-02-03,GOOGL,0.0551883186619961,30.0,0.037484582329366196,0.12989920389025278,0.6666666666666666,1.5805448136386926,0.2885666825259036,False,True,False,True
2020-02-04,GILD,0.0582415543435661,30.0,0.03733011069395407,0.12987072072952893,0.6666666666666666,1.574376702184152,0.28744054459895096,False,True,False,True
2020-02-04,F,-0.1051408521020439,30.0,0.03320407736273114,0.1324261218863946,0.6333333333333333,1.373340992973908,0.2507366136661177,False,True,False,True
2020-02-04,SPG,-0.0709209008863492,30.0,0.031758687003241894,0.13334565102897816,0.6333333333333333,1.304500681813877,0.23816814990344318,False,True,False,True
2020-02-04,EMR,-0.0583699333291073,30.0,0.029147233515733284,0.1343477869291685,0.6,1.1883037041655673,0.21695358131280892,True,True,False,True
2020-02-04,DIS,-0.0339153851506327,30.0,0.00801400923957496,0.08052484067971756,0.5666666666666667,0.545105535076909,0.09952219926084886,True,True,True,True
2020-02-04,COP,-0.1318580244851633,30.0,-0.0015600481566861364,0.07946927990154848,0.5333333333333333,-0.10752250017490106,-0.01963083292838216,True,True,True,True
2020-02-05,GM,0.0085736553162192,30.0,-0.004134539630286896,0.0777742606787196,0.5333333333333333,-0.2911735323029347,-0.0531607705969255,True,True,True,True
2020-02-05,MET,-0.0218121023063201,30.0,-0.006600856281763824,0.07709716519522831,0.5,-0.46894563181623816,-0.08561736692975531,True,True,True,True
2020-02-05,QCOM,-0.1056823727502663,30.0,-0.006179323479638876,0.07649746342120638,0.5,-0.442440142267681,-0.08077814875526793,True,True,True,True
