ticker,eps_date,ret,snapshot_date,snapshot_close,snapshot_rel_day,rsi_14,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_bucket,above_sma_20,above_sma_50,above_sma_200,trend_up_50v200,macd_bullish,macd_above_zero,macd_hist_positive,pct_vs_sma_50
AAPL,2020-01-28,-0.004447015921057451,2020-01-10 05:00:00,74.80622863769531,-11,,,,,,,,,,,,,,,,,,
AAPL,2020-04-30,0.01160234187155007,2020-04-15 04:00:00,68.72565460205078,-11,,,,,,,,,,,,,,,,,,
AAPL,2020-07-30,-0.027474838415407876,2020-07-15 04:00:00,94.70723724365234,-11,,,,,,,,,,,,,,,,,,
AAPL,2020-10-29,-0.082432755333259,2020-10-14 04:00:00,117.65941619873048,-11,,,,,,,,,,,,,,,,,,
AAPL,2021-01-27,0.10993979127902875,2021-01-11 05:00:00,125.4384765625,-11,,,,,,,,,,,,,,,,,,
AAPL,2021-04-28,-0.0002974045625022681,2021-04-13 04:00:00,130.9342041015625,-11,,,,,,,,,,,,,,,,,,
AAPL,2021-07-27,0.031072836678228022,2021-07-12 04:00:00,140.98138427734375,-11,75.41590579114491,136.18800000000002,130.45800000000006,126.26354999999992,140.035471234187,135.8522855091782,4.183185725008826,3.228218730021728,0.9549669949870982,overbought_>70,True,True,True,True,True,True,True,0.08066492110367851
AAPL,2021-10-28,0.056348150618293236,2021-10-13 04:00:00,137.68482971191406,-11,40.05700443067999,143.4375,147.15560000000002,135.46274999999991,142.57427843418378,144.304568175349,-1.7302897411652225,-1.6788111406819637,-0.051478600483259,weak_30-50,False,False,True,True,False,False,False,-0.06435888466416473
AAPL,2022-01-27,-0.0879025638540959,2022-01-11 05:00:00,171.3223876953125,-11,54.03113895157768,175.7265,165.71200000000002,145.8480000000001,175.11755110364257,172.94939669891633,2.1681544047262378,3.470991087254049,-1.3028366825278113,strong_50-70,False,True,True,True,False,True,False,0.033856254799365715
AAPL,2022-04-28,-0.0661457936139992,2022-04-12 04:00:00,164.2706756591797,-11,47.035193793486805,170.9805,168.0838,158.05674999999997,170.8395693220444,169.68766987523622,1.1518994468081871,2.0329893404053343,-0.8810898935971472,weak_30-50,False,False,True,True,False,True,False,-0.022685852775938598
AAPL,2022-07-28,0.0776685455708368,2022-07-13 04:00:00,142.75830078125,-11,54.843299354050814,139.45149999999998,144.1166,158.27184999999994,143.0681568312917,142.50160611247148,0.5665507188202241,-0.7688691260622479,1.335419844882472,strong_50-70,True,False,False,False,True,True,True,-0.00942500183011541
AAPL,2022-10-27,0.07958651521527882,2022-10-12 04:00:00,135.9311065673828,-11,33.97257696715822,147.13,157.3622,158.56424999999996,143.45437432433593,148.17315586499808,-4.71878154066215,-4.144300278443784,-0.5744812622183657,weak_30-50,False,False,False,False,False,False,False,-0.13618958957498806
