ticker,eps_date,timing,is_amc,entry_date,entry_observable,days_to_entry,days_to_eps,macd,macd_signal,macd_bullish,rsi_14,status,realised_ret,decision,eps_estimate,revenue_estimate
UPS,2026-04-28,bmo,False,2026-04-14,True,-3,7,-0.6626385230815544,-1.8370138589157603,True,57.668147311207925,entered,,,1.07,21004490000.0
V,2026-04-28,amc,True,2026-04-14,True,-3,7,-1.2796492710726852,-3.01756544056385,True,54.75969781183574,entered,,,3.09,10744810000.0
ABBV,2026-04-29,bmo,False,2026-04-15,True,-2,8,-3.0664614770893763,-3.449401815753266,True,43.50527310554852,entered,,,2.94,14717950000.0
AMZN,2026-04-29,amc,True,2026-04-15,True,-2,8,8.162611561297297,3.412846780963994,True,75.64446023658597,entered,,,1.63,177146200000.0
CAT,2026-04-29,bmo,False,2026-04-15,True,-2,8,20.231971117867715,12.263509473608435,True,59.404808454661456,entered,,,4.62,16491510000.0
F,2026-04-29,amc,True,2026-04-15,True,-2,8,-0.0212297096203393,-0.2122978392171021,True,61.27500165523033,entered,,,0.22,42664320000.0
GOOG,2026-04-29,amc,True,2026-04-15,True,-2,8,5.747759737182832,0.4559270922697822,True,71.90035237268563,entered,,,2.64,106779900000.0
GOOGL,2026-04-29,amc,True,2026-04-15,True,-2,8,6.21584494789937,0.8707525560103929,True,71.32985095858866,entered,,,2.64,106809700000.0
META,2026-04-29,amc,True,2026-04-15,True,-2,8,5.761440189832456,-7.488764332468886,True,66.60898250986072,entered,,,6.69,55517820000.0
MSFT,2026-04-29,amc,True,2026-04-15,True,-2,8,-1.9180583077611573,-7.104604178558668,True,67.20720011110868,entered,,,4.07,81293340000.0
QCOM,2026-04-29,amc,True,2026-04-15,True,-2,8,-1.55307383659607,-2.8280265763816854,True,54.20448582336029,entered,,,2.57,10587710000.0
AAPL,2026-04-30,amc,True,2026-04-16,True,-1,9,1.2751482314029658,-0.2280533516943638,True,57.41735908323352,entered,,,1.93,108856000000.0
AIG,2026-04-30,amc,True,2026-04-16,True,-1,9,0.2468846437460286,-0.1085732633824841,True,57.90703148148742,entered,,,1.91,7033657000.0
AMGN,2026-04-30,amc,True,2026-04-16,True,-1,9,-3.3026186288404915,-3.90770905805056,True,45.45896477323684,entered,,,4.77,8577447000.0
LLY,2026-04-30,bmo,False,2026-04-16,True,-1,9,-14.445070777773708,-16.223078543879332,True,39.82261909209374,entered,,,7.07,17593980000.0
MA,2026-04-30,bmo,False,2026-04-16,True,-1,9,0.9285716620751714,-2.626908256504383,True,57.72843771292085,entered,,,4.41,8256615000.0
ISRG,2026-04-21,amc,True,2026-04-07,True,-8,2,-11.237567915732429,-10.2482265576224,False,33.8332428041048,entered,,,2.08,2618749000.0
NOW,2026-04-22,amc,True,2026-04-08,True,-7,3,-3.740622314747085,-3.038516091376073,False,33.48255936771207,entered,,,0.95,3745620000.0
PM,2026-04-22,bmo,False,2026-04-08,True,-7,3,-4.252760911304193,-4.040772040693217,False,41.125281498335525,entered,,,1.83,9917160000.0
T,2026-04-22,bmo,False,2026-04-08,True,-7,3,0.1244247851542112,0.2813107541004422,False,40.53518723556948,entered,,,0.55,31245390000.0
TSLA,2026-04-22,amc,True,2026-04-08,True,-7,3,-14.15119107771767,-11.76137091738642,False,33.70059452150953,entered,,,0.36,22316350000.0
CMCSA,2026-04-23,bmo,False,2026-04-09,True,-6,4,-0.6462843799917835,-0.5982937066799464,False,40.693675366514256,entered,,,0.72,30429800000.0
VZ,2026-04-27,bmo,False,2026-04-13,True,-4,6,-0.6214345157030934,0.0019441274222042,False,24.18933248206332,entered,,,1.23,34828550000.0
TMUS,2026-04-28,amc,True,2026-04-14,True,-3,7,-4.877622900440372,-3.0218791652118484,False,26.86441959448871,entered,,,2.05,22971730000.0
GD,2026-04-29,bmo,False,2026-04-15,True,-2,8,-3.436604162172898,-2.533251687144172,False,41.40592456036836,entered,,,3.71,12709560000.0
BMY,2026-04-30,bmo,False,2026-04-16,True,-1,9,-0.2477444357519402,-0.152097169847979,False,49.76221583418183,entered,,,1.45,10881650000.0
COP,2026-04-30,bmo,False,2026-04-16,True,-1,9,0.4537949102925296,2.303516164276054,False,46.330619907016505,entered,,,1.7,15127330000.0
MO,2026-04-30,bmo,False,2026-04-16,True,-1,9,-0.1135286934266019,0.0243978156960813,False,43.85873114455501,entered,,,1.24,4577471000.0
MRK,2026-04-30,bmo,False,2026-04-16,True,-1,9,0.3794788344376343,0.8193435389046423,False,40.02264037382986,entered,,,-1.47834,15888660000.0
SO,2026-04-30,bmo,False,2026-04-16,True,-1,9,0.0991001963878659,0.4007261215792697,False,44.08098629886868,entered,,,1.22,8224327000.0
CVS,2026-05-06,bmo,False,2026-04-22,True,3,13,0.5430146476478228,0.0916376907595795,True,53.717417340315045,pre-watch,,,2.21,95069840000.0
DIS,2026-05-06,bmo,False,2026-04-22,True,3,13,0.3163707694751849,-0.855753274239405,True,63.8242025226685,pre-watch,,,1.49,24837490000.0
EMR,2026-05-06,bmo,False,2026-04-22,True,3,13,1.2317315141163476,-0.3487433665815932,True,54.35041240003405,pre-watch,,,1.55,4595843000.0
MET,2026-05-06,amc,True,2026-04-22,True,3,13,1.2149731131164856,0.2784043053701048,True,67.12963284192978,pre-watch,,,2.21,19459080000.0
MCD,2026-05-07,bmo,False,2026-04-23,True,4,14,-3.904975240934221,-4.22803639651505,True,43.01256022412851,pre-watch,,,2.76,6485859000.0
SPG,2026-05-11,amc,True,2026-04-27,True,6,16,2.9400458332497976,1.006827452431929,True,65.88330917358867,pre-watch,,,1.49,1530282000.0
CSCO,2026-05-13,amc,True,2026-04-29,True,8,18,1.1510622784325903,0.7765755569744697,True,63.62878318455587,pre-watch,,,1.04,15543320000.0
HD,2026-05-19,bmo,False,2026-05-05,True,12,22,-3.07375456826702,-6.044369770400833,True,48.4204799997918,pre-watch,,,3.42,41602140000.0
LOW,2026-05-20,bmo,False,2026-05-06,True,13,23,-1.059515289448285,-3.2444717509893426,True,49.17929206217164,pre-watch,,,2.96,22940170000.0
MDT,2026-05-20,bmo,False,2026-05-06,True,13,23,-1.215180717781493,-1.5655460230940863,True,37.31266589660536,pre-watch,,,1.55,9636726000.0
NVDA,2026-05-20,amc,True,2026-05-06,True,13,23,3.900649960853372,0.9546312806121848,True,68.89803676993989,pre-watch,,,1.76,78423370000.0
TGT,2026-05-20,bmo,False,2026-05-06,True,13,23,1.6440800742295352,1.5323373067818773,True,59.83469960262588,pre-watch,,,1.34,24325070000.0
DE,2026-05-21,bmo,False,2026-05-07,True,14,24,2.5182559896186376,1.579804617601244,True,49.41587279026896,pre-watch,,,5.7,11547060000.0
WMT,2026-05-21,bmo,False,2026-05-07,True,14,24,0.3811948127463438,0.3427760794332267,True,50.26192664894064,pre-watch,,,0.65,174493400000.0
CRM,2026-05-27,amc,True,2026-05-13,True,18,28,-5.3083243753843306,-5.386140125743966,True,47.34597160173215,pre-watch,,,3.1,11054650000.0
AVGO,2026-06-04,amc,True,2026-05-21,True,24,34,17.12570334758726,7.838667397183983,True,77.36265946327512,pre-watch,,,2.38,22019050000.0
ORCL,2026-06-10,amc,True,2026-05-27,True,28,38,2.8568612352407,-1.1354279736101578,True,70.47122775366928,pre-watch,,,1.97,19103280000.0
ADBE,2026-06-11,,False,2026-05-28,True,29,39,-5.223722308835306,-7.125554363906928,True,51.29463302984268,pre-watch,,,5.83,6458825000.0
ACN,2026-06-19,bmo,False,2026-06-05,True,35,45,-4.763419226151143,-5.679945382057997,True,45.91712168641108,pre-watch,,,3.68,18825060000.0
FDX,2026-06-23,amc,True,2026-06-09,True,37,47,4.021075404606108,2.106384476626812,True,62.39033958666227,pre-watch,,,5.87,23819940000.0
NKE,2026-06-25,amc,True,2026-06-11,True,39,49,-3.354021857896328,-3.612324426240805,True,37.188784990898505,pre-watch,,,0.1215,10863890000.0
C,2026-07-14,bmo,False,2026-06-30,True,52,62,4.798206808591402,3.0634559700124644,True,70.11044100048812,pre-watch,,,2.53,23097760000.0
JPM,2026-07-14,bmo,False,2026-06-30,True,52,62,4.138129009744887,2.100918597402887,True,61.06615595749859,pre-watch,,,5.4,48622330000.0
WFC,2026-07-14,bmo,False,2026-06-30,True,52,62,0.4262786595539438,0.1257734524878647,True,48.88556278850225,pre-watch,,,1.74,21772670000.0
BAC,2026-07-15,bmo,False,2026-07-01,True,53,63,1.131704467574032,0.4947481365134957,True,66.54145401793464,pre-watch,,,1.09,29967170000.0
GS,2026-07-15,bmo,False,2026-07-01,True,53,63,14.603222512496473,7.025573870306774,True,59.86381777336056,pre-watch,,,13.7,15675240000.0
MS,2026-07-15,bmo,False,2026-07-01,True,53,63,5.43609044934459,2.5825617995262915,True,69.73400717610511,pre-watch,,,2.74,18952500000.0
PLD,2026-07-15,bmo,False,2026-07-01,True,53,63,1.5364322102211645,0.4054465410355871,True,69.47761192878016,pre-watch,,,0.831,2151795000.0
NFLX,2026-07-16,amc,True,2026-07-02,True,54,64,3.9329352852380737,2.96810018515417,True,79.09352813965013,pre-watch,,,0.86,12618210000.0
PEP,2026-07-16,bmo,False,2026-07-02,True,54,64,-0.3535898863339355,-0.8614473427805736,True,54.78197879501082,pre-watch,,,2.24,23977770000.0
USB,2026-07-16,bmo,False,2026-07-02,True,54,64,0.7415891518088031,0.2666415222504403,True,58.39307125988214,pre-watch,,,1.25,7538069000.0
SCHW,2026-07-17,bmo,False,2026-07-03,True,55,65,0.3754518140607104,0.041885218834651,True,44.24174383858503,pre-watch,,,1.45,6582703000.0
RTX,2026-07-20,bmo,False,2026-07-06,True,56,66,-0.1036034911662113,-0.4182064006396605,True,44.80784877109452,pre-watch,,,1.65,22704600000.0
BK,2026-07-21,bmo,False,2026-07-07,True,57,67,3.888164368277174,2.4751063555895976,True,79.185827962646,pre-watch,,,2.11,5306661000.0
BLK,2026-07-21,bmo,False,2026-07-07,True,57,67,8.026777554413002,-4.15043253674695,True,56.77532089433482,pre-watch,,,12.62,6713058000.0
INTU,2026-05-28,amc,True,2026-05-14,True,19,29,-18.192760418697503,-15.500323183874706,False,41.9006296402677,pre-watch,,,12.54,8533501000.0
COST,2026-06-04,amc,True,2026-05-21,True,24,34,0.7047152152780427,3.537266907039824,False,47.19406962357077,pre-watch,,,4.95,68968500000.0
JNJ,2026-07-15,bmo,False,2026-07-01,True,53,63,-0.4475307220634477,0.1902518767466341,False,39.617941548578685,pre-watch,,,2.87,24974060000.0
ABT,2026-07-16,bmo,False,2026-07-02,True,54,64,-2.687754442271725,-2.4686456362077367,False,25.321054435156185,pre-watch,,,1.33,12282350000.0
COST,2026-07-29,amc,True,2026-07-15,True,63,73,0.7047152152780427,3.537266907039824,False,47.19406962357077,pre-watch,,,4.95,68692990000.0
BMY,2026-07-30,bmo,False,2026-07-16,True,64,74,-0.2477444357519402,-0.152097169847979,False,49.76221583418183,pre-watch,,,1.64,11833880000.0
MRK,2026-08-04,bmo,False,2026-07-21,True,67,77,0.3794788344376343,0.8193435389046423,False,40.02264037382986,pre-watch,,,2.09,16342180000.0
ORCL,2026-03-10,amc,True,2026-02-24,True,-37,-27,-9.055762406414658,-9.424089044722454,True,37.47029701930524,post-event,,,1.7,16925770000.0
ADBE,2026-03-12,amc,True,2026-02-26,True,-35,-25,-13.301815624761955,-14.618217501651658,True,36.655767355837845,post-event,,,5.87,6276514000.0
